證券代碼,簡稱,年月日,報酬率％
2498   ,宏達電       ,20220510,     1.7525
2882   ,國泰金       ,20220510,    -1.1925
1102   ,亞泥         ,20220511,    -1.8418
2498   ,宏達電       ,20220511,    -0.6459
2882   ,國泰金       ,20220511,    -3.1034
1102   ,亞泥         ,20220512,    -1.9868
2498   ,宏達電       ,20220512,    -2.6002
2882   ,國泰金       ,20220512,    -3.7367
1102   ,亞泥         ,20220513,     1.4640
2498   ,宏達電       ,20220513,     2.1135
2882   ,國泰金       ,20220513,     0.3697
1102   ,亞泥         ,20220516,    -0.2220
2498   ,宏達電       ,20220516,    -0.4357
2882   ,國泰金       ,20220516,    -2.0258
1102   ,亞泥         ,20220517,    -0.4449
2498   ,宏達電       ,20220517,     3.2823
2882   ,國泰金       ,20220517,    -1.1278
1102   ,亞泥         ,20220518,    -0.2235
2498   ,宏達電       ,20220518,     0.0000
2882   ,國泰金       ,20220518,     2.8517
1102   ,亞泥         ,20220519,    -2.2396
2498   ,宏達電       ,20220519,    -1.0593
2882   ,國泰金       ,20220519,    -2.5878
1102   ,亞泥         ,20220520,     0.8018
2498   ,宏達電       ,20220520,     0.6424
2882   ,國泰金       ,20220520,     0.3795
1102   ,亞泥         ,20220523,     0.9091
2498   ,宏達電       ,20220523,     0.6383
2882   ,國泰金       ,20220523,    -1.1342
1102   ,亞泥         ,20220524,    -0.9009
2498   ,宏達電       ,20220524,    -2.8541
2882   ,國泰金       ,20220524,    -0.5736
1102   ,亞泥         ,20220525,     1.7045
2498   ,宏達電       ,20220525,     0.1088
2882   ,國泰金       ,20220525,    -1.1538
1102   ,亞泥         ,20220526,    -0.5587
2498   ,宏達電       ,20220526,    -0.2174
2882   ,國泰金       ,20220526,     0.1946
1102   ,亞泥         ,20220527,     1.5730
2498   ,宏達電       ,20220527,     2.5054
2882   ,國泰金       ,20220527,     2.1359
1102   ,亞泥         ,20220530,     0.6637
2498   ,宏達電       ,20220530,     2.3379
2882   ,國泰金       ,20220530,     2.6616
1102   ,亞泥         ,20220531,    -2.4176
